tarih,gunluk_test,gunluk_vaka,gunluk_vefat,gunluk_iyilesen,toplam_test,toplam_vaka,toplam_vefat,toplam_iyilesen,toplam_yogun_bakim,toplam_entube,hastalarda_zaturre_oran,agir_hasta_sayisi,yatak_doluluk_orani,eriskin_yogun_bakim_doluluk_orani,ventilator_doluluk_orani,ortalama_filyasyon_suresi,ortalama_temasli_tespit_suresi,filyasyon_orani
13.11.2020,149.942,3.045,93,2.010,15.863.833,407.939,11.326,348.804,,,"4,2",3.356,"53,5","69,9","34,9",,12,"99,7"
12.11.2020,148.482,2.841,88,2.181,15.713.891,404.894,11.233,346.794,,,"4,2",3.230,"53,5","69,9","34,9",,12,"99,7"
11.11.2020,145.989,2.693,86,2.112,15.565.409,402.053,11.145,344.613,,,"4,2",3.095,"53,5","69,9","34,9",,12,99.7
10.11.2020,146.198,2.529,87,2.215,15.419.420,399.360,11.059,342.501,,,"4,2",3.001,"53,5","69,9","34,9",,12,99.7
09.11.2020,145.411,2.576,85,2.047,15.273.222,396.831,10.972,340.286,,,4.2,2.867,"53,5","69,9",34.9,,12,99.7
08.11.2020,141.944,2.516,84,2.018,15.127.811,394.255,10.887,338.239,,,4.7,2.740,51.7,68.5,32.9,,10,99.7
07.11.2020,139.675,2.483,81,1.928,14.985.867,391.739,10.803,336.221,,,4.7,2.730,51.7,68.5,32.9,,10,99.7
06.11.2020,145.241,2.436,83,1.914,14.846.192,389.256,10.722,334.293,,,4.7,2.654,51.7,68.5,32.9,,10,99.7
05.11.2020,146.028,2.311,81,1.714,14.700.951,386.820,10.639,332.379,,,4.7,2.564,51.7,68.5,32.9,,10,99.7
04.11.2020,144.416,2.391,77,1.841,14.554.923,384.509,10.558,330.665,,,4.7,2.464,51.7,68.5,32.9,,10,99.7
03.11.2020,146.247,2.343,79,1.817,14.410.507,382.118,10.481,328.824,,,4.7,2.386,51.7,68.5,32.9,,10,99.7
02.11.2020,139.103,2.302,76,1.521,14.264.260,379.775,10.402,327.007,,,4.7,2.341,51.7,68.5,32.9,,10,99.7
01.11.2020,123.343,2.106,74,1.515,14.125.157,377.473,10.326,325.486,,,5.0,2.177,50.8,67.1,33.4,,9,99.7
31.10.2020,124.109,2.213,75,1.506,14.001.814,375.367,10.252,323.971,,,5.0,2.075,50.8,67.1,33.4,,9,99.7
30.10.2020,136.525,2.322,78,1.703,13.877.705,373.154,10.177,322.465,,,5.0,1.966,50.8,67.1,33.4,,9,99.7
29.10.2020,134.416,2.319,72,1.581,13.741.180,370.832,10.099,320.762,,,5.0,1.916,50.8,67.1,33.4,,9,99.7
